operationalization,dimension,dimension_label,bootstrap_type,p_value
absolute,G1_environment,Umwelt,WCR11,0.000
absolute,G1_environment,Umwelt,WCR31,0.000
absolute,G2_migration,Migration,WCR11,0.000
absolute,G2_migration,Migration,WCR31,0.062
absolute,G3_society,Gesellschaftspolitik,WCR11,0.000
absolute,G3_society,Gesellschaftspolitik,WCR31,0.062
absolute,G4_civil_rights,Bürgerrechte,WCR11,0.062
absolute,G4_civil_rights,Bürgerrechte,WCR31,0.125
absolute,G5_cosmopolitanism,Kosmopolitismus,WCR11,0.000
absolute,G5_cosmopolitanism,Kosmopolitismus,WCR31,0.000
